codigo,nombre,descripcion,unidad,categoria,imagen,ubicacion_bio,cantidad_bio,ubicacion_agr,cantidad_agr,mrp
300000000063,CADENA PASO 60 x CAJA 3M,CADENA PASO 60 x CAJA 3M,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000063.png, ,0,C103B24*,1,
300000000064,CAPO R196616 JD,CAPO R196616 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000064.png, , , ,0,
300000000065,CAPUCHON EXTR. PRIMARIO NW01449114 JD,CAPUCHON EXTR. PRIMARIO NW01449114 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000065.png, , , ,0,
300000000066,CARCASA SN 211,CARCASA SN 211,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000066.png, , , ,0,
300000000067,CARRIL INFERIOR CB01442156  JD,CARRIL INFERIOR CB01442156  JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000067.png, , , ,0,
300000000068,CARRIL SUPERIOR CB01451099  JD,CARRIL SUPERIOR CB01451099  JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000068.png, , , ,0,
300000000069,CASQUILLO RE 131405 JD,CASQUILLO RE 131405 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000069.png, , ,C301A12*,4,
300000000070,CAUCHO PARA REVESTIMIENTO 6310172 JD,CAUCHO PARA REVESTIMIENTO 6310172 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000070.png, , , ,0,
300000000071,CAUCHO ROLO BASCULANTE  AZ43879 JD,CAUCHO ROLO BASCULANTE  AZ43879 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000071.png, , , ,0,
300000000072,CERQUIILLO R188979 JD,CERQUIILLO R188979 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000072.png, , ,C301A13*,1,
300000000073,CHUMACERA F207 NTN UC207,CHUMACERA F207 NTN UC207,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000073.png, , ,C101P13*,2,
300000000074,CHUMACERA AGRICOLA 11G7321,CHUMACERA AGRICOLA 11G7321,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000074.png, , ,,0,
300000000075,CHUMACERA UCF206.103PARA EJE 1.3/16,CHUMACERA UCF206.103PARA EJE 1.3/16,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000075.png, , ,C101A11*,3,
300000000076,CHUMACERA 12'' 2-1/8''  REF. CH1203,CHUMACERA 12'' 2-1/8''  REF. CH1203,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000076.png, , ,C105P01*,5,
300000000077,CHUMACERA REF.CHA0801 BONEM,CHUMACERA REF.CHA0801 BONEM,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000077.png, , , ,0,
300000000078,CHUMACERA SKF 213 X 2.1/2,CHUMACERA SKF 213 X 2.1/2,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000078.png, , , ,0,
300000000079,CHUMACERA UCF206.30 SNR,CHUMACERA UCF206.30 SNR,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000079.png, , ,C101P14*,3,
300000000080,CHUMACERA F210 CUATRO HUECOS 50MM,CHUMACERA F210 CUATRO HUECOS 50MM,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000080.png, , ,C103P08*,4,
